filename,dataset
KPI-42d6616d-c9c5-370a-a8ba-17ead74f3114.test.out,IOPS
KPI-431a8542-c468-3988-a508-3afd06a218da.test.out,IOPS
KPI-55f8b8b8-b659-38df-b3df-e4a5a8a54bc9.test.out,IOPS
KPI-7103fa0f-cac4-314f-addc-866190247439.test.out,IOPS
KPI-ba5f3328-9f3f-3ff5-a683-84437d16d554.test.out,IOPS
MBA_ECG801_data.out,ECG
NAB_data_CloudWatch_11.out,NAB
NAB_data_CloudWatch_13.out,NAB
NAB_data_Exchange_6.out,NAB
NAB_data_KnownCause_2.out,NAB
NAB_data_KnownCause_5.out,NAB
NAB_data_Traffic_3.out,NAB
NAB_data_Traffic_6.out,NAB
NAB_data_tweets_1.out,NAB
NAB_data_tweets_4.out,NAB
NAB_data_tweets_8.out,NAB
S01R02E0.test.csv@4.out,Daphnet
S03R01E1.test.csv@2.out,Daphnet
S03R02E0.test.csv@3.out,Daphnet
S03R03E4.test.csv@2.out,Daphnet
S03R03E4.test.csv@6.out,Daphnet
S09R01E0.test.csv@1.out,Daphnet
S09R01E2.test.csv@4.out,Daphnet
S09R01E4.test.csv@1.out,Daphnet
S1-ADL1.test.csv@38.out,OPPORTUNITY
S1-ADL1.test.csv@42.out,OPPORTUNITY
S1-ADL1.test.csv@66.out,OPPORTUNITY
S1-ADL1.test.csv@76.out,OPPORTUNITY
S1-ADL1.test.csv@77.out,OPPORTUNITY
S1-ADL1.test.csv@94.out,OPPORTUNITY
S1-ADL2.test.csv@103.out,OPPORTUNITY
S1-ADL2.test.csv@108.out,OPPORTUNITY
S1-ADL2.test.csv@109.out,OPPORTUNITY
S1-ADL2.test.csv@124.out,OPPORTUNITY
S1-ADL2.test.csv@48.out,OPPORTUNITY
S1-ADL2.test.csv@79.out,OPPORTUNITY
S1-ADL2.test.csv@89.out,OPPORTUNITY
S1-ADL2.test.csv@96.out,OPPORTUNITY
S1-ADL3.test.csv@104.out,OPPORTUNITY
S1-ADL3.test.csv@111.out,OPPORTUNITY
S1-ADL3.test.csv@115.out,OPPORTUNITY
S1-ADL3.test.csv@129.out,OPPORTUNITY
S1-ADL3.test.csv@52.out,OPPORTUNITY
S1-ADL3.test.csv@76.out,OPPORTUNITY
S1-ADL3.test.csv@78.out,OPPORTUNITY
S1-ADL3.test.csv@80.out,OPPORTUNITY
S1-ADL4.test.csv@108.out,OPPORTUNITY
S1-ADL4.test.csv@127.out,OPPORTUNITY
S1-ADL4.test.csv@17.out,OPPORTUNITY
S1-ADL4.test.csv@63.out,OPPORTUNITY
S1-ADL4.test.csv@77.out,OPPORTUNITY
S1-ADL5.test.csv@112.out,OPPORTUNITY
S1-ADL5.test.csv@116.out,OPPORTUNITY
S1-ADL5.test.csv@120.out,OPPORTUNITY
S1-ADL5.test.csv@129.out,OPPORTUNITY
S1-ADL5.test.csv@76.out,OPPORTUNITY
S1-ADL5.test.csv@94.out,OPPORTUNITY
S2-ADL2.test.csv@101.out,OPPORTUNITY
S2-ADL2.test.csv@103.out,OPPORTUNITY
S2-ADL2.test.csv@124.out,OPPORTUNITY
S2-ADL2.test.csv@38.out,OPPORTUNITY
S2-ADL2.test.csv@55.out,OPPORTUNITY
S2-ADL2.test.csv@79.out,OPPORTUNITY
S2-ADL3.test.csv@38.out,OPPORTUNITY
S2-ADL3.test.csv@52.out,OPPORTUNITY
S2-ADL3.test.csv@66.out,OPPORTUNITY
S2-ADL3.test.csv@67.out,OPPORTUNITY
S2-ADL3.test.csv@91.out,OPPORTUNITY
S2-ADL3.test.csv@93.out,OPPORTUNITY
S2-ADL4.test.csv@67.out,OPPORTUNITY
S2-ADL4.test.csv@80.out,OPPORTUNITY
S2-ADL4.test.csv@92.out,OPPORTUNITY
S2-ADL5.test.csv@79.out,OPPORTUNITY
S2-ADL5.test.csv@80.out,OPPORTUNITY
S2-ADL5.test.csv@81.out,OPPORTUNITY
S2-ADL5.test.csv@91.out,OPPORTUNITY
S2-ADL5.test.csv@98.out,OPPORTUNITY
S3-ADL1.test.csv@66.out,OPPORTUNITY
S3-ADL1.test.csv@68.out,OPPORTUNITY
S3-ADL2.test.csv@25.out,OPPORTUNITY
S3-ADL2.test.csv@50.out,OPPORTUNITY
S3-ADL3.test.csv@63.out,OPPORTUNITY
S3-ADL4.test.csv@108.out,OPPORTUNITY
S3-ADL4.test.csv@120.out,OPPORTUNITY
S3-ADL4.test.csv@130.out,OPPORTUNITY
S3-ADL4.test.csv@42.out,OPPORTUNITY
S3-ADL4.test.csv@50.out,OPPORTUNITY
S3-ADL4.test.csv@63.out,OPPORTUNITY
S3-ADL4.test.csv@66.out,OPPORTUNITY
S3-ADL4.test.csv@93.out,OPPORTUNITY
S3-ADL5.test.csv@103.out,OPPORTUNITY
S3-ADL5.test.csv@120.out,OPPORTUNITY
S4-ADL1.test.csv@40.out,OPPORTUNITY
S4-ADL2.test.csv@124.out,OPPORTUNITY
S4-ADL2.test.csv@38.out,OPPORTUNITY
S4-ADL2.test.csv@42.out,OPPORTUNITY
S4-ADL2.test.csv@81.out,OPPORTUNITY
S4-ADL3.test.csv@108.out,OPPORTUNITY
S4-ADL3.test.csv@118.out,OPPORTUNITY
S4-ADL3.test.csv@120.out,OPPORTUNITY
S4-ADL3.test.csv@16.out,OPPORTUNITY
S4-ADL3.test.csv@17.out,OPPORTUNITY
S4-ADL4.test.csv@133.out,OPPORTUNITY
S4-ADL4.test.csv@92.out,OPPORTUNITY
S4-ADL5.test.csv@120.out,OPPORTUNITY
S4-ADL5.test.csv@125.out,OPPORTUNITY
S4-ADL5.test.csv@40.out,OPPORTUNITY
S4-ADL5.test.csv@55.out,OPPORTUNITY
S4-ADL5.test.csv@79.out,OPPORTUNITY
S4-ADL5.test.csv@89.out,OPPORTUNITY
SMAPC-2_data.out,NASA_MSL
SMAPD-12_data.out,NASA_SMAP
SMAPD-13_data.out,NASA_SMAP
SMAPD-14_data.out,NASA_MSL
SMAPD-15_data.out,NASA_MSL
SMAPD-6_data.out,NASA_SMAP
SMAPD-9_data.out,NASA_SMAP
SMAPE-13_data.out,NASA_SMAP
SMAPE-4_data.out,NASA_SMAP
SMAPE-5_data.out,NASA_SMAP
SMAPF-2_data.out,NASA_SMAP
SMAPP-10_data.out,NASA_MSL
SMAPS-1_data.out,NASA_SMAP
SMAPT-2_data.out,NASA_SMAP
SMAPT-9_data.out,NASA_MSL
YahooA3Benchmark-TS100_data.out,YAHOO
YahooA3Benchmark-TS16_data.out,YAHOO
YahooA3Benchmark-TS20_data.out,YAHOO
YahooA3Benchmark-TS32_data.out,YAHOO
YahooA3Benchmark-TS36_data.out,YAHOO
YahooA3Benchmark-TS37_data.out,YAHOO
YahooA3Benchmark-TS39_data.out,YAHOO
YahooA3Benchmark-TS40_data.out,YAHOO
YahooA3Benchmark-TS45_data.out,YAHOO
YahooA3Benchmark-TS46_data.out,YAHOO
YahooA3Benchmark-TS4_data.out,YAHOO
YahooA3Benchmark-TS54_data.out,YAHOO
YahooA3Benchmark-TS56_data.out,YAHOO
YahooA3Benchmark-TS62_data.out,YAHOO
YahooA3Benchmark-TS7_data.out,YAHOO
YahooA3Benchmark-TS82_data.out,YAHOO
YahooA3Benchmark-TS92_data.out,YAHOO
YahooA3Benchmark-TS94_data.out,YAHOO
YahooA4Benchmark-TS10_data.out,YAHOO
YahooA4Benchmark-TS11_data.out,YAHOO
YahooA4Benchmark-TS14_data.out,YAHOO
YahooA4Benchmark-TS23_data.out,YAHOO
YahooA4Benchmark-TS32_data.out,YAHOO
YahooA4Benchmark-TS41_data.out,YAHOO
YahooA4Benchmark-TS44_data.out,YAHOO
YahooA4Benchmark-TS57_data.out,YAHOO
YahooA4Benchmark-TS5_data.out,YAHOO
YahooA4Benchmark-TS63_data.out,YAHOO
YahooA4Benchmark-TS73_data.out,YAHOO
YahooA4Benchmark-TS74_data.out,YAHOO
YahooA4Benchmark-TS7_data.out,YAHOO
YahooA4Benchmark-TS80_data.out,YAHOO
YahooA4Benchmark-TS89_data.out,YAHOO
YahooA4Benchmark-TS8_data.out,YAHOO
YahooA4Benchmark-TS91_data.out,YAHOO
YahooA4Benchmark-TS97_data.out,YAHOO
Yahoo_A1real_28_data.out,YAHOO
Yahoo_A1real_31_data.out,YAHOO
Yahoo_A1real_33_data.out,YAHOO
Yahoo_A1real_36_data.out,YAHOO
Yahoo_A1real_37_data.out,YAHOO
Yahoo_A1real_41_data.out,YAHOO
Yahoo_A1real_42_data.out,YAHOO
Yahoo_A1real_45_data.out,YAHOO
Yahoo_A1real_51_data.out,YAHOO
Yahoo_A1real_52_data.out,YAHOO
Yahoo_A1real_56_data.out,YAHOO
Yahoo_A2synthetic_100_data.out,YAHOO
Yahoo_A2synthetic_12_data.out,YAHOO
Yahoo_A2synthetic_13_data.out,YAHOO
Yahoo_A2synthetic_33_data.out,YAHOO
Yahoo_A2synthetic_49_data.out,YAHOO
Yahoo_A2synthetic_50_data.out,YAHOO
Yahoo_A2synthetic_53_data.out,YAHOO
Yahoo_A2synthetic_58_data.out,YAHOO
Yahoo_A2synthetic_60_data.out,YAHOO
Yahoo_A2synthetic_63_data.out,YAHOO
Yahoo_A2synthetic_67_data.out,YAHOO
Yahoo_A2synthetic_68_data.out,YAHOO
Yahoo_A2synthetic_71_data.out,YAHOO
Yahoo_A2synthetic_75_data.out,YAHOO
Yahoo_A2synthetic_76_data.out,YAHOO
Yahoo_A2synthetic_81_data.out,YAHOO
Yahoo_A2synthetic_84_data.out,YAHOO
Yahoo_A2synthetic_85_data.out,YAHOO
Yahoo_A2synthetic_86_data.out,YAHOO
Yahoo_A2synthetic_90_data.out,YAHOO
Yahoo_A2synthetic_95_data.out,YAHOO
genesis-anomalies.test.csv@3.out,Genesis
machine-1-1.test.csv@1.out,SMD
machine-1-1.test.csv@12.out,SMD
machine-1-2.test.csv@11.out,SMD
machine-1-2.test.csv@12.out,SMD
machine-1-2.test.csv@13.out,SMD
machine-1-2.test.csv@9.out,SMD
machine-1-5.test.csv@23.out,SMD
machine-1-5.test.csv@25.out,SMD
machine-1-6.test.csv@24.out,SMD
machine-1-6.test.csv@4.out,SMD
machine-2-1.test.csv@10.out,SMD
machine-2-2.test.csv@10.out,SMD
machine-2-2.test.csv@6.out,SMD
machine-2-3.test.csv@2.out,SMD
machine-2-3.test.csv@31.out,SMD
machine-2-4.test.csv@20.out,SMD
machine-2-5.test.csv@1.out,SMD
machine-2-5.test.csv@12.out,SMD
machine-2-5.test.csv@14.out,SMD
machine-2-6.test.csv@1.out,SMD
machine-2-6.test.csv@16.out,SMD
machine-2-6.test.csv@24.out,SMD
machine-2-7.test.csv@1.out,SMD
machine-2-7.test.csv@20.out,SMD
machine-2-7.test.csv@22.out,SMD
machine-2-8.test.csv@21.out,SMD
machine-2-8.test.csv@34.out,SMD
machine-2-9.test.csv@10.out,SMD
machine-2-9.test.csv@16.out,SMD
machine-3-10.test.csv@2.out,SMD
machine-3-10.test.csv@22.out,SMD
machine-3-10.test.csv@23.out,SMD
machine-3-10.test.csv@3.out,SMD
machine-3-10.test.csv@6.out,SMD
machine-3-10.test.csv@7.out,SMD
machine-3-11.test.csv@28.out,SMD
machine-3-11.test.csv@35.out,SMD
machine-3-11.test.csv@36.out,SMD
machine-3-11.test.csv@4.out,SMD
machine-3-11.test.csv@6.out,SMD
machine-3-4.test.csv@6.out,SMD
machine-3-4.test.csv@7.out,SMD
machine-3-5.test.csv@7.out,SMD
machine-3-6.test.csv@24.out,SMD
machine-3-6.test.csv@36.out,SMD
machine-3-7.test.csv@13.out,SMD
machine-3-8.test.csv@20.out,SMD
machine-3-8.test.csv@25.out,SMD
machine-3-8.test.csv@31.out,SMD
machine-3-8.test.csv@32.out,SMD
machine-3-8.test.csv@4.out,SMD
room-occupancy-0.test.csv@1.out,Occupancy
room-occupancy-0.test.csv@2.out,Occupancy
stb-13.test.out,SensorScope
stb-15.test.out,SensorScope
stb-20.test.out,SensorScope
stb-7.test.out,SensorScope
